state_name,county_name,fips_code,date,cases_per_100K_7_day_count_change,percent_test_results_reported_positive_last_7_days,community_transmission_level
Michigan,Macomb County,26099,01/27/2021,146.343,5.95,high
Michigan,Macomb County,26099,08/05/2020,87.646,6.65,substantial
Michigan,Macomb County,26099,07/20/2021,20.024,2.44,moderate
Michigan,Macomb County,26099,12/18/2020,300.582,10.90,high
Michigan,Macomb County,26099,02/15/2020,0.000,,low
Michigan,Macomb County,26099,02/15/2021,68.995,3.76,substantial
Michigan,Macomb County,26099,05/08/2020,41.191,11.42,high
Michigan,Macomb County,26099,09/05/2021,160.646,9.64,high
Michigan,Macomb County,26099,04/29/2020,95.426,16.44,high
Michigan,Macomb County,26099,06/27/2021,7.666,0.91,low
Michigan,Macomb County,26099,02/26/2021,97.372,3.51,substantial
Michigan,Macomb County,26099,06/01/2021,43.823,3.42,moderate
Michigan,Macomb County,26099,04/13/2020,144.284,42.57,high
Michigan,Macomb County,26099,05/17/2020,38.216,6.59,moderate
Michigan,Macomb County,26099,09/30/2021,224.378,9.19,high
Michigan,Macomb County,26099,11/16/2021,496.240,16.83,high
Michigan,Macomb County,26099,02/25/2020,0.000,,low
Michigan,Macomb County,26099,12/12/2020,387.198,13.93,high
Michigan,Macomb County,26099,11/09/2020,356.762,16.04,high
Michigan,Macomb County,26099,06/15/2020,7.208,2.80,low
Michigan,Macomb County,26099,01/19/2021,155.154,6.98,high
Michigan,Macomb County,26099,06/10/2020,8.353,2.49,low
Michigan,Macomb County,26099,02/21/2020,0.000,,low
Michigan,Macomb County,26099,05/06/2020,48.171,12.35,high
Michigan,Macomb County,26099,07/02/2021,8.467,1.30,low
Michigan,Macomb County,26099,11/07/2021,338.684,13.00,high
Michigan,Macomb County,26099,09/13/2020,55.265,5.03,substantial
Michigan,Macomb County,26099,01/23/2021,156.069,6.56,high
Michigan,Macomb County,26099,11/02/2020,233.760,11.18,high
Michigan,Macomb County,26099,11/28/2020,543.725,18.17,high
