date,total confirmed case,Face_Masks_Required_in_Public
1/23/20,0,NA
1/24/20,0,NA
1/25/20,0,NA
1/26/20,0,NA
1/27/20,0,NA
1/28/20,0,NA
1/29/20,0,NA
1/30/20,0,NA
1/31/20,0,NA
2/1/20,0,NA
2/2/20,0,NA
2/3/20,0,NA
2/4/20,0,NA
2/5/20,0,NA
2/6/20,0,NA
2/7/20,0,NA
2/8/20,0,NA
2/9/20,0,NA
2/10/20,0,NA
2/11/20,0,NA
2/12/20,0,NA
2/13/20,0,NA
2/14/20,0,NA
2/15/20,0,NA
2/16/20,0,NA
2/17/20,0,NA
2/18/20,0,NA
2/19/20,0,NA
2/20/20,0,NA
2/21/20,0,NA
2/22/20,0,NA
2/23/20,0,NA
2/24/20,0,NA
2/25/20,0,NA
2/26/20,0,NA
2/27/20,0,NA
2/28/20,0,NA
2/29/20,0,NA
3/1/20,0,NA
3/2/20,0,NA
3/3/20,0,NA
3/4/20,0,NA
3/5/20,0,NA
3/6/20,0,NA
3/7/20,0,NA
3/8/20,0,NA
3/9/20,0,NA
3/10/20,0,NA
3/11/20,0,NA
3/12/20,0,NA
3/13/20,0,NA
3/14/20,1,NA
3/15/20,1,NA
3/16/20,4,NA
3/17/20,2,NA
3/18/20,2,NA
3/19/20,45,NA
3/20/20,32,NA
3/21/20,15,NA
3/22/20,39,NA
3/23/20,35,NA
3/24/20,50,NA
3/25/20,56,NA
3/26/20,67,NA
3/27/20,57,NA
3/28/20,130,NA
3/29/20,86,NA
3/30/20,108,NA
3/31/20,125,NA
4/1/20,235,NA
4/2/20,244,NA
4/3/20,228,NA
4/4/20,278,NA
4/5/20,165,NA
4/6/20,157,NA
4/7/20,257,NA
4/8/20,212,NA
4/9/20,157,NA
4/10/20,190,NA
4/11/20,191,NA
4/12/20,90,NA
4/13/20,164,NA
4/14/20,202,NA
4/15/20,172,NA
4/16/20,201,NA
4/17/20,153,NA
4/18/20,106,NA
4/19/20,109,NA
4/20/20,65,NA
4/21/20,119,NA
4/22/20,87,NA
4/23/20,239,NA
4/24/20,169,NA
4/25/20,118,NA
4/26/20,65,Yes
4/27/20,48,Yes
4/28/20,98,Yes
4/29/20,97,Yes
4/30/20,85,Yes
5/1/20,114,Yes
5/2/20,46,Yes
5/3/20,91,Yes
5/4/20,-19,Yes
5/5/20,59,Yes
5/6/20,45,Yes
5/7/20,47,Yes
5/8/20,91,Yes
5/9/20,63,Yes
5/10/20,25,Yes
5/11/20,25,Yes
5/12/20,36,Yes
5/13/20,48,Yes
5/14/20,103,Yes
5/15/20,47,Yes
5/16/20,33,Yes
5/17/20,42,Yes
