date,death,confirmed cases
1/23/20,0,0
1/24/20,0,0
1/25/20,0,0
1/26/20,0,0
1/27/20,0,0
1/28/20,0,0
1/29/20,0,0
1/30/20,0,0
1/31/20,0,0
2/1/20,0,0
2/2/20,0,0
2/3/20,0,0
2/4/20,0,0
2/5/20,0,0
2/6/20,0,0
2/7/20,0,0
2/8/20,0,0
2/9/20,0,0
2/10/20,0,0
2/11/20,0,0
2/12/20,0,0
2/13/20,0,0
2/14/20,0,0
2/15/20,0,0
2/16/20,0,0
2/17/20,0,0
2/18/20,0,0
2/19/20,0,0
2/20/20,0,0
2/21/20,0,0
2/22/20,0,0
2/23/20,0,0
2/24/20,0,0
2/25/20,0,0
2/26/20,0,0
2/27/20,0,0
2/28/20,0,0
2/29/20,0,0
3/1/20,0,0
3/2/20,0,0
3/3/20,0,0
3/4/20,0,0
3/5/20,0,0
3/6/20,0,0
3/7/20,0,0
3/8/20,0,0
3/9/20,0,0
3/10/20,0,0
3/11/20,0,0
3/12/20,0,0
3/13/20,0,0
3/14/20,0,1
3/15/20,0,1
3/16/20,0,4
3/17/20,0,2
3/18/20,0,2
3/19/20,0,45
3/20/20,0,32
3/21/20,0,15
3/22/20,1,39
3/23/20,1,35
3/24/20,2,50
3/25/20,4,56
3/26/20,4,67
3/27/20,3,57
3/28/20,3,130
3/29/20,3,86
3/30/20,8,108
3/31/20,11,125
4/1/20,13,235
4/2/20,7,244
4/3/20,8,228
4/4/20,13,278
4/5/20,6,165
4/6/20,19,157
4/7/20,21,257
4/8/20,20,212
4/9/20,26,157
4/10/20,33,190
4/11/20,12,191
4/12/20,10,90
4/13/20,25,164
4/14/20,53,202
4/15/20,37,172
4/16/20,26,201
4/17/20,21,153
4/18/20,12,106
4/19/20,7,109
4/20/20,12,65
4/21/20,42,119
4/22/20,28,87
4/23/20,20,239
4/24/20,12,169
4/25/20,13,118
4/26/20,3,65
4/27/20,7,48
4/28/20,45,98
4/29/20,25,97
4/30/20,6,85
5/1/20,12,114
5/2/20,11,46
5/3/20,3,91
5/4/20,16,-19
5/5/20,4,59
5/6/20,15,45
5/7/20,16,47
5/8/20,6,91
5/9/20,23,63
5/10/20,1,25
5/11/20,1,25
5/12/20,12,36
5/13/20,8,48
5/14/20,11,103
5/15/20,2,47
5/16/20,10,33
5/17/20,1,42
5/18/20,0,13
5/19/20,13,15
5/20/20,11,31
5/21/20,9,34
5/22/20,4,27
5/23/20,2,37
5/24/20,0,19
5/25/20,0,17
5/26/20,2,15
5/27/20,5,33
5/28/20,3,33
5/29/20,6,35
5/30/20,9,10
5/31/20,8,71
6/1/20,5,13
6/2/20,4,15
6/3/20,9,57
6/4/20,2,22
6/5/20,4,36
6/6/20,0,4
6/7/20,0,3
6/8/20,2,5
6/9/20,3,3
6/10/20,0,0
6/11/20,4,6
6/12/20,2,10
6/13/20,8,19
6/14/20,0,15
6/15/20,0,10
6/16/20,2,31
6/17/20,1,11
6/18/20,5,10
6/19/20,0,11
6/20/20,2,23
6/21/20,0,6
6/22/20,0,13
6/23/20,-1,10
6/24/20,0,16
6/25/20,2,34
6/26/20,1,27
6/27/20,4,19
6/28/20,2,26
6/29/20,0,20
6/30/20,9,42
7/1/20,0,69
7/2/20,1,41
7/3/20,2,33
7/4/20,0,19
7/5/20,0,20
7/6/20,0,39
7/7/20,4,45
7/8/20,0,26
7/9/20,0,39
7/10/20,1,49
7/11/20,4,45
7/12/20,0,46
7/13/20,0,47
7/14/20,1,45
7/15/20,0,115
7/16/20,3,101
7/17/20,0,73
7/18/20,1,60
7/19/20,0,82
7/20/20,1,65
7/21/20,2,86
7/22/20,0,82
7/23/20,0,63
7/24/20,0,103
7/25/20,0,27
7/26/20,0,112
7/27/20,1,92
7/28/20,0,72
7/29/20,-4,111
7/30/20,3,148
7/31/20,0,134
8/1/20,0,117
8/2/20,0,37
8/3/20,0,120
8/4/20,1,112
8/5/20,0,98
8/6/20,5,110
8/7/20,2,163
8/8/20,2,134
8/9/20,0,94
8/10/20,1,112
8/11/20,1,131
8/12/20,1,118
8/13/20,0,159
8/14/20,1,131
8/15/20,5,137
8/16/20,0,95
