date,death
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,0
3/8/20,0
3/9/20,0
3/10/20,0
3/11/20,0
3/12/20,0
3/13/20,0
3/14/20,0
3/15/20,0
3/16/20,0
3/17/20,0
3/18/20,0
3/19/20,0
3/20/20,0
3/21/20,0
3/22/20,1
3/23/20,1
3/24/20,2
3/25/20,4
3/26/20,4
3/27/20,3
3/28/20,3
3/29/20,3
3/30/20,8
3/31/20,11
4/1/20,13
4/2/20,7
4/3/20,8
4/4/20,13
4/5/20,6
4/6/20,19
4/7/20,21
4/8/20,20
4/9/20,26
4/10/20,33
4/11/20,12
4/12/20,10
4/13/20,25
4/14/20,53
4/15/20,37
4/16/20,26
4/17/20,21
4/18/20,12
4/19/20,7
4/20/20,12
4/21/20,42
4/22/20,28
4/23/20,20
4/24/20,12
4/25/20,13
4/26/20,3
4/27/20,7
4/28/20,45
4/29/20,25
4/30/20,6
5/1/20,12
5/2/20,11
5/3/20,3
5/4/20,16
5/5/20,4
5/6/20,15
5/7/20,16
5/8/20,6
5/9/20,23
5/10/20,1
5/11/20,1
5/12/20,12
5/13/20,8
5/14/20,11
5/15/20,2
5/16/20,10
5/17/20,1
5/18/20,0
5/19/20,13
5/20/20,11
5/21/20,9
5/22/20,4
5/23/20,2
5/24/20,0
5/25/20,0
5/26/20,2
5/27/20,5
5/28/20,3
5/29/20,6
5/30/20,9
5/31/20,8
6/1/20,5
6/2/20,4
6/3/20,9
6/4/20,2
6/5/20,4
6/6/20,0
6/7/20,0
6/8/20,2
6/9/20,3
6/10/20,0
6/11/20,4
6/12/20,2
6/13/20,8
6/14/20,0
6/15/20,0
6/16/20,2
6/17/20,1
6/18/20,5
6/19/20,0
6/20/20,2
6/21/20,0
6/22/20,0
6/23/20,-1
6/24/20,0
6/25/20,2
6/26/20,1
6/27/20,4
6/28/20,2
6/29/20,0
6/30/20,9
7/1/20,0
7/2/20,1
7/3/20,2
7/4/20,0
7/5/20,0
7/6/20,0
7/7/20,4
7/8/20,0
7/9/20,0
7/10/20,1
7/11/20,4
7/12/20,0
7/13/20,0
7/14/20,1
7/15/20,0
7/16/20,3
7/17/20,0
7/18/20,1
7/19/20,0
7/20/20,1
7/21/20,2
7/22/20,0
7/23/20,0
7/24/20,0
7/25/20,0
7/26/20,0
7/27/20,1
7/28/20,0
7/29/20,-4
7/30/20,3
7/31/20,0
8/1/20,0
8/2/20,0
8/3/20,0
8/4/20,1
8/5/20,0
8/6/20,5
8/7/20,2
8/8/20,2
8/9/20,0
8/10/20,1
8/11/20,1
8/12/20,1
8/13/20,0
8/14/20,1
8/15/20,5
8/16/20,0
8/17/20,0
8/18/20,1
8/19/20,0
8/20/20,2
8/21/20,0
8/22/20,0
8/23/20,0
8/24/20,0
8/25/20,3
8/26/20,1
8/27/20,2
8/28/20,1
8/29/20,0
8/30/20,3
8/31/20,0
9/1/20,1
9/2/20,10
9/3/20,2
9/4/20,1
9/5/20,0
9/6/20,0
9/7/20,1
9/8/20,0
9/9/20,10
9/10/20,6
9/11/20,2
9/12/20,1
9/13/20,0
9/14/20,2
9/15/20,1
9/16/20,1
9/17/20,1
9/18/20,-1
9/19/20,3
9/20/20,0
9/21/20,1
9/22/20,3
9/23/20,2
9/24/20,2
9/25/20,3
9/26/20,1
9/27/20,0
9/28/20,0
9/29/20,2
9/30/20,1
10/1/20,1
10/2/20,2
10/3/20,5
10/4/20,0
10/5/20,0
10/6/20,1
10/7/20,2
10/8/20,3
10/9/20,2
10/10/20,1
10/11/20,0
10/12/20,0
10/13/20,2
10/14/20,4
10/15/20,8
10/16/20,4
10/17/20,2
10/18/20,0
10/19/20,4
10/20/20,1
10/21/20,4
10/22/20,4
10/23/20,4
10/24/20,6
10/25/20,0
10/26/20,1
10/27/20,2
10/28/20,1
10/29/20,5
10/30/20,0
10/31/20,5
11/1/20,0
11/2/20,0
11/3/20,4
11/4/20,0
11/5/20,6
11/6/20,2
11/7/20,10
11/8/20,0
11/9/20,1
11/10/20,9
11/11/20,0
11/12/20,4
11/13/20,22
11/14/20,10
11/15/20,0
11/16/20,1
11/17/20,7
11/18/20,2
11/19/20,17
11/20/20,10
11/21/20,10
11/22/20,0
11/23/20,4
11/24/20,15
11/25/20,4
11/26/20,0
11/27/20,17
11/28/20,14
11/29/20,0
11/30/20,11
12/1/20,13
12/2/20,4
12/3/20,18
12/4/20,6
12/5/20,17
12/6/20,0
12/7/20,1
12/8/20,19
12/9/20,6
12/10/20,27
12/11/20,3
12/12/20,26
12/13/20,0
12/14/20,8
12/15/20,23
12/16/20,1
12/17/20,24
12/18/20,3
12/19/20,38
12/20/20,0
12/21/20,3
12/22/20,18
12/23/20,7
12/24/20,0
12/25/20,0
12/26/20,31
12/27/20,0
12/28/20,1
12/29/20,23
12/30/20,3
12/31/20,0
1/1/21,0
1/2/21,31
1/3/21,0
1/4/21,4
1/5/21,20
1/6/21,2
1/7/21,18
1/8/21,2
1/9/21,33
1/10/21,0
1/11/21,5
1/12/21,13
1/13/21,0
1/14/21,19
1/15/21,3
1/16/21,16
1/17/21,0
1/18/21,0
1/19/21,2
1/20/21,4
1/21/21,17
1/22/21,2
1/23/21,25
1/24/21,0
1/25/21,3
1/26/21,9
1/27/21,2
1/28/21,11
1/29/21,-2
1/30/21,20
1/31/21,0
2/1/21,2
2/2/21,6
2/3/21,6
2/4/21,17
2/5/21,1
2/6/21,12
2/7/21,0
2/8/21,-1
2/9/21,5
2/10/21,1
2/11/21,9
