Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity
12/01/2021,26099,48,Macomb County,MI,53.3,466096,466088,61.6,442087,63.9,127365,83.6,97.5,487983,55.8,487875,64.5,464899,67.2,132729,87.2,B,8,8,8,8,Metro,4,4,4,4
11/30/2021,26099,48,Macomb County,MI,53.3,465835,465827,61.5,441851,63.8,127333,83.6,97.6,487740,55.8,487636,64.4,464666,67.1,132693,87.1,B,8,8,8,8,Metro,4,4,4,4
11/29/2021,26099,48,Macomb County,MI,53.2,465047,465041,61.4,441165,63.7,127246,83.6,97.6,486939,55.7,486838,64.3,463898,67,132583,87.1,B,8,8,8,8,Metro,4,4,4,4
11/28/2021,26099,48,Macomb County,MI,53.2,464743,464737,61.4,440898,63.7,127210,83.5,97.7,486510,55.7,486419,64.3,463486,67,132496,87,B,8,8,8,8,Metro,4,4,4,4
11/27/2021,26099,47,Macomb County,MI,53.2,464743,464737,61.4,440898,63.7,127210,83.5,97.7,486510,55.7,486419,64.3,463486,67,132496,87,B,8,8,8,8,Metro,4,4,4,4
11/26/2021,26099,47,Macomb County,MI,53.2,464743,464737,61.4,440898,63.7,127210,83.5,97.7,486510,55.7,486419,64.3,463486,67,132496,87,B,8,8,8,8,Metro,4,4,4,4
11/25/2021,26099,47,Macomb County,MI,53.2,464743,464737,61.4,440898,63.7,127210,83.5,97.7,486510,55.7,486419,64.3,463486,67,132496,87,B,8,8,8,8,Metro,4,4,4,4
11/24/2021,26099,47,Macomb County,MI,53.2,464743,464737,61.4,440898,63.7,127210,83.5,97.7,486510,55.7,486419,64.3,463486,67,132496,87,B,8,8,8,8,Metro,4,4,4,4
11/23/2021,26099,47,Macomb County,MI,53.1,464484,464478,61.4,440670,63.7,127175,83.5,97.7,486194,55.6,486108,64.2,463180,66.9,132439,87,B,8,8,8,8,Metro,4,4,4,4
11/22/2021,26099,47,Macomb County,MI,53.1,464295,464289,61.3,440502,63.6,127152,83.5,97.7,485946,55.6,485862,64.2,462939,66.9,132401,87,B,8,8,8,8,Metro,4,4,4,4
